"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60077","Нельзя войти без логина или пароля","tests","Sun Jun 29 07:36:53 MSK 2025","skipped","Sun Jun 29 07:37:53 MSK 2025","TestCourierLogin","test_login_courier","",""
"","55","Нельзя создать курьера без обязательного поля","tests","Sun Jun 29 07:35:48 MSK 2025","passed","Sun Jun 29 07:35:48 MSK 2025","TestCourierCreation","test_create_courier","",""
"","28","Нельзя войти без логина или пароля","tests","Sun Jun 29 07:35:53 MSK 2025","passed","Sun Jun 29 07:35:53 MSK 2025","TestCourierLogin","test_login_courier","",""
"","53","Можно создать заказ с разными цветами самоката","tests","Sun Jun 29 07:35:49 MSK 2025","passed","Sun Jun 29 07:35:49 MSK 2025","TestCreateOrder","test_create_order","",""
"","61","Курьер может залогиниться с валидными данными","tests","Sun Jun 29 07:35:53 MSK 2025","passed","Sun Jun 29 07:35:53 MSK 2025","TestCourierLogin","test_login_courier","",""
"","52","Нельзя создать курьера с уже существующим логином","tests","Sun Jun 29 07:35:48 MSK 2025","passed","Sun Jun 29 07:35:48 MSK 2025","TestCourierCreation","test_create_courier","",""
"","57","Можно создать заказ с разными цветами самоката","tests","Sun Jun 29 07:35:49 MSK 2025","passed","Sun Jun 29 07:35:49 MSK 2025","TestCreateOrder","test_create_order","",""
"","61","Нельзя войти с неверными логином или паролем","tests","Sun Jun 29 07:35:53 MSK 2025","passed","Sun Jun 29 07:35:53 MSK 2025","TestCourierLogin","test_login_courier","",""
"","47","Нельзя создать курьера без одного из обязательных полей (параметризация)","tests","Sun Jun 29 07:35:49 MSK 2025","passed","Sun Jun 29 07:35:49 MSK 2025","TestCourierCreation","test_create_courier","",""
"","79","Курьера можно создать","tests","Sun Jun 29 07:35:48 MSK 2025","passed","Sun Jun 29 07:35:48 MSK 2025","TestCourierCreation","test_create_courier","",""
"","55","Можно создать заказ с разными цветами самоката","tests","Sun Jun 29 07:35:49 MSK 2025","passed","Sun Jun 29 07:35:49 MSK 2025","TestCreateOrder","test_create_order","",""
"","66","Можно создать заказ с разными цветами самоката","tests","Sun Jun 29 07:35:49 MSK 2025","passed","Sun Jun 29 07:35:49 MSK 2025","TestCreateOrder","test_create_order","",""
"","37","Нельзя создать курьера без одного из обязательных полей (параметризация)","tests","Sun Jun 29 07:35:48 MSK 2025","passed","Sun Jun 29 07:35:49 MSK 2025","TestCourierCreation","test_create_courier","",""
"","91","Нельзя создать курьера без обязательного поля","tests","Sun Jun 29 07:35:48 MSK 2025","passed","Sun Jun 29 07:35:48 MSK 2025","TestCourierCreation","test_create_courier","",""
"","60037","Нельзя войти без логина или пароля","tests","Sun Jun 29 07:35:53 MSK 2025","skipped","Sun Jun 29 07:36:53 MSK 2025","TestCourierLogin","test_login_courier","",""
"Проверяет, что API возвращает список заказов и статус-код 200","3637","test_get_orders_returns_list","tests","Sun Jun 29 07:35:49 MSK 2025","passed","Sun Jun 29 07:35:52 MSK 2025","TestGetOrders","test_get_orders","",""
"","37","Нельзя создать курьера без одного из обязательных полей (параметризация)","tests","Sun Jun 29 07:35:48 MSK 2025","passed","Sun Jun 29 07:35:48 MSK 2025","TestCourierCreation","test_create_courier","",""
